source_file_name,hospital_id,hospital_name,last_updated_on,hospital_state,license_number,payer_name,plan_name,code_type,raw_code,description,setting,modifiers,standard_charge_gross,standard_charge_discounted_cash,standard_charge_negotiated_dollar,standard_charge_negotiated_percentage,standard_charge_min,standard_charge_max,standard_charge_methodology,additional_payer_notes,additional_generic_notes
13-1740114_montefiore-medical-center_standardcharges.csv.gz,62915ae8-8d64-4e2f-b05f-b18edde57a3d,Montefiore Medical Center,2024-07-01,NY,13-1740114,Aetna,Medicare,CPT,99283,EMERGENCY DEPT VISIT LOW MDM,outpatient,null,null,null,323.34,null,83.78,1009.22,fee schedule,null,null
13-1740114_montefiore-medical-center_standardcharges.csv.gz,62915ae8-8d64-4e2f-b05f-b18edde57a3d,Montefiore Medical Center,2024-07-01,NY,13-1740114,HealthFirst,Commercial Enrollees,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,outpatient,null,null,null,1037.65,null,165.4,3206.34,fee schedule,null,null
13-1740114_montefiore-medical-center_standardcharges.csv.gz,62915ae8-8d64-4e2f-b05f-b18edde57a3d,Montefiore Medical Center,2024-07-01,NY,13-1740114,Aetna,Commercial,CPT,43239,UPPER GI ENDOSCOPY BIOPSY,outpatient,null,null,null,1246.73,null,1246.73,1394.79,fee schedule,null,null
13-1740114_montefiore-medical-center_standardcharges.csv.gz,62915ae8-8d64-4e2f-b05f-b18edde57a3d,Montefiore Medical Center,2024-07-01,NY,13-1740114,Cigna,LocalPlus,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,outpatient,null,3744,2433.6,1797,null,225,1797,other,null,per visit
13-1740114_montefiore-medical-center_standardcharges.csv.gz,62915ae8-8d64-4e2f-b05f-b18edde57a3d,Montefiore Medical Center,2024-07-01,NY,13-1740114,Oscar,Medicare,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,outpatient,null,null,null,1037.65,null,141.77,1815.1,fee schedule,null,null
13-1740114_montefiore-medical-center_standardcharges.csv.gz,62915ae8-8d64-4e2f-b05f-b18edde57a3d,Montefiore Medical Center,2024-07-01,NY,13-1740114,Healthcare,Partners Medicare,CPT,99283,PR EMERGENCY DEPARTMENT VISIT LOW MDM,both,null,385,250.25,89.36,null,64.75,366.24,fee schedule,null,null
13-1740114_montefiore-medical-center_standardcharges.csv.gz,62915ae8-8d64-4e2f-b05f-b18edde57a3d,Montefiore Medical Center,2024-07-01,NY,13-1740114,United,HC NY Essential,CPT,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,both,null,3925,2551.25,161.66,null,146.49,1733.49,fee schedule,null,null
13-1740114_montefiore-medical-center_standardcharges.csv.gz,62915ae8-8d64-4e2f-b05f-b18edde57a3d,Montefiore Medical Center,2024-07-01,NY,13-1740114,Aetna,Medicare,CPT,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,both,null,3925,2551.25,157.52,null,146.49,1733.49,fee schedule,null,null
13-1740114_montefiore-medical-center_standardcharges.csv.gz,62915ae8-8d64-4e2f-b05f-b18edde57a3d,Montefiore Medical Center,2024-07-01,NY,13-1740114,Emblem,Managed Care Products,MS-DRG,872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,inpatient,null,null,null,14248.5,null,5699.4,51350.81,fee schedule,null,null
13-1740114_montefiore-medical-center_standardcharges.csv.gz,62915ae8-8d64-4e2f-b05f-b18edde57a3d,Montefiore Medical Center,2024-07-01,NY,13-1740114,Humana,Humana,MS-DRG,872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,inpatient,null,null,null,13977.1,null,5699.4,51350.81,fee schedule,null,null
